"Operacao","tempoMedioTotal","desvio"
"1",2.51733333333333,3.4671177071744
"2",2.84823333333333,8.01812857490313
"3",2.75983333333333,6.67441703683619
"4",2.89273333333333,6.43802004117529
"5",7.30636666666667,4.26923901749548
"6",53.8253666666667,15.9460901400319
"7",3.07003333333333,7.23113273872479
