"Operacao","tempoTransmissao","desvio"
"1",1.1426,1.70952403942715
"2",1.32338333333333,3.99387084455526
"3",1.27538333333333,3.32788326307334
"4",1.34305,3.22427233544306
"5",3.12816666666667,2.05719763074772
"6",1.37421666666667,1.16174359695136
"7",1.4314,3.60713924666453
